Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,PETIT LARCENY,FORGERY,ROBBERY,HARRASSMENT 2,DANGEROUS WEAPONS,FELONY ASSAULT,THEFT-FRAUD,CRIMINAL TRESPASS,BURGLARY,SEX CRIMES,ARSON,ASSAULT 3 & RELATED OFFENSES,GRAND LARCENY,DANGEROUS DRUGS,RAPE,MISCELLANEOUS PENAL LAW,VEHICLE AND TRAFFIC LAWS,UNAUTHORIZED USE OF A VEHICLE,ADMINISTRATIVE CODE,CRIMINAL MISCHIEF & RELATED OF,GRAND LARCENY OF MOTOR VEHICLE,THEFT OF SERVICES,OTHER OFFENSES RELATED TO THEF,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES INVOLVING FRAUD,POSSESSION OF STOLEN PROPERTY,OFFENSES AGAINST PUBLIC ADMINI,NYS LAWS-UNCLASSIFIED FELONY,BURGLAR'S TOOLS,FRAUDS,INTOXICATED & IMPAIRED DRIVING,OFFENSES AGAINST THE PERSON,PROSTITUTION & RELATED OFFENSES,OTHER STATE LAWS (NON PENAL LA,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,KIDNAPPING & RELATED OFFENSES,PETIT LARCENY OF MOTOR VEHICLE,OFFENSES AGAINST PUBLIC SAFETY,FORTUNE TELLING,GAMBLING,ANTICIPATORY OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,FELONY SEX CRIMES,CHILD ABANDONMENT/NON SUPPORT,DISORDERLY CONDUCT,OTHER STATE LAWS,FRAUDULENT ACCOSTING,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",JOSTLING,KIDNAPPING,UNLAWFUL POSS. WEAP. ON SCHOOL,ESCAPE 3,NEW YORK CITY HEALTH CODE,ENDAN WELFARE INCOMP,NYS LAWS-UNCLASSIFIED VIOLATION,HOMICIDE-NEGLIGENT-VEHICLE,OFFENSES RELATED TO CHILDREN
04/07/2020,6044,2,130,1,22,137,12,43,2,1,44,4,1,81,55,19,3,35,7,5,1,81,27,0,0,18,2,3,19,1,1,2,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/08/2020,5576,2,173,2,30,145,9,41,1,1,39,7,1,93,55,12,1,31,7,3,1,111,29,0,0,24,1,5,18,2,1,3,2,2,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/09/2020,5070,1,165,2,26,98,16,26,6,11,34,4,1,90,57,14,1,21,4,5,2,113,18,0,2,29,0,3,13,0,2,3,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
04/10/2020,4510,2,151,9,19,130,12,35,6,4,46,6,2,55,56,5,0,29,5,3,0,119,24,0,0,26,0,3,12,0,0,3,2,3,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
04/11/2020,3733,3,150,0,31,128,7,40,4,7,27,8,2,91,42,9,1,28,11,5,2,90,25,0,1,23,2,0,11,0,0,1,5,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/12/2020,2888,0,158,1,20,148,8,37,4,8,34,6,4,90,42,8,1,38,9,4,2,111,18,0,2,26,0,1,12,0,0,2,3,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/13/2020,3311,2,163,4,28,130,3,35,4,7,46,7,3,85,69,1,0,18,4,0,3,106,16,0,1,25,0,1,5,3,1,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/14/2020,4144,3,168,6,41,154,8,37,9,5,31,5,2,76,54,10,3,25,10,5,3,140,17,0,0,19,0,2,9,3,2,5,4,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/15/2020,3876,4,155,2,23,117,18,38,11,8,42,11,5,88,71,15,5,25,5,5,1,131,21,0,0,30,1,4,13,3,2,1,6,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
04/16/2020,3530,0,155,4,21,129,13,29,5,7,35,4,1,74,51,17,4,27,2,4,3,105,13,0,2,31,2,1,8,4,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
