Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,DANGEROUS WEAPONS,PETIT LARCENY,ROBBERY,HARRASSMENT 2,OFFENSES AGAINST PUBLIC ADMINI,ASSAULT 3 & RELATED OFFENSES,FELONY ASSAULT,SEX CRIMES,GRAND LARCENY,CRIMINAL MISCHIEF & RELATED OF,OFFENSES INVOLVING FRAUD,BURGLARY,OFFENSES AGAINST THE PERSON,GRAND LARCENY OF MOTOR VEHICLE,INTOXICATED & IMPAIRED DRIVING,MISCELLANEOUS PENAL LAW,OTHER OFFENSES RELATED TO THEF,RAPE,THEFT-FRAUD,OFF. AGNST PUB ORD SENSBLTY &,DANGEROUS DRUGS,VEHICLE AND TRAFFIC LAWS,FORGERY,UNAUTHORIZED USE OF A VEHICLE,CRIMINAL TRESPASS,PETIT LARCENY OF MOTOR VEHICLE,POSSESSION OF STOLEN PROPERTY,FRAUDS,OTHER STATE LAWS (NON PENAL LA,ARSON,BURGLAR'S TOOLS,KIDNAPPING & RELATED OFFENSES,NYS LAWS-UNCLASSIFIED FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",THEFT OF SERVICES,ADMINISTRATIVE CODE,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,GAMBLING,FRAUDULENT ACCOSTING,NYS LAWS-UNCLASSIFIED VIOLATION,OFFENSES AGAINST PUBLIC SAFETY,CHILD ABANDONMENT/NON SUPPORT,ENDAN WELFARE INCOMP,FELONY SEX CRIMES,PROSTITUTION & RELATED OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,DISORDERLY CONDUCT,ANTICIPATORY OFFENSES,JOSTLING,HOMICIDE-NEGLIGENT-VEHICLE,"LOITERING/GAMBLING (CARDS, DIC",ESCAPE 3,KIDNAPPING,OFFENSES RELATED TO CHILDREN,OTHER STATE LAWS,DISRUPTION OF A RELIGIOUS SERV,OTHER STATE LAWS (NON PENAL LAW),INTOXICATED/IMPAIRED DRIVING,OFFENSES AGAINST MARRIAGE UNCL,NEW YORK CITY HEALTH CODE
02/06/2021,3079,2,17,184,33,172,12,109,59,14,71,89,14,34,4,23,13,40,2,7,4,41,16,21,13,5,5,0,1,2,0,1,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/07/2021,1647,3,8,149,43,157,11,113,60,14,36,74,6,22,5,21,16,29,0,1,3,39,5,14,11,3,3,0,1,8,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/08/2021,4430,0,8,217,26,165,14,94,42,10,85,70,6,29,3,15,4,40,3,2,12,37,16,21,11,5,6,0,1,12,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/09/2021,3730,0,14,192,32,164,17,93,34,11,87,84,11,23,2,18,3,36,0,2,12,45,24,14,15,8,6,1,5,9,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
02/10/2021,3778,1,13,206,24,183,11,75,44,14,74,129,6,31,2,23,4,29,0,3,10,47,48,21,18,4,7,0,4,7,0,2,1,2,3,0,1,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
02/11/2021,3411,0,17,192,31,179,11,90,29,6,79,95,6,27,2,18,7,35,1,2,17,40,48,13,14,6,5,0,6,10,0,0,2,0,2,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/12/2021,3314,2,25,196,26,182,15,111,47,13,79,108,7,34,0,19,10,27,0,2,6,42,43,11,20,5,2,0,12,10,2,1,1,0,3,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/13/2021,2204,1,20,197,31,178,15,100,39,14,69,98,8,28,2,12,12,30,3,2,8,34,27,12,10,3,4,0,2,5,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/14/2021,1896,0,10,183,29,203,15,111,59,16,66,101,11,29,5,16,8,39,3,2,8,62,10,10,4,3,2,0,2,4,1,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02/15/2021,2858,0,9,191,31,193,11,100,43,17,89,85,3,25,3,21,9,32,0,4,14,38,10,13,6,2,8,0,4,7,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
